ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
704,DEVELOPMENT (n),DEVELOPMENT (n),"Gelişim, gelişme","Growth, improvement",Global catastrophes could be prevented through new scientific developments.,"Küresel felaketler, yeni bilimsel gelişmelerle önlenebilir.",36,-,-,0
705,DISCHARGE (v),DISCHARGE (v),"Atmak, boşaltmak","Release, emit, send out, expel",Some companies are discharging chemicals into the North Sea in connection with oil production.,"Bazı şirketler, petrol üretimi ile bağlantılı olarak kimyasalları Kuzey Denizi'ne boşaltmaktadırlar.",36,-,-,0
706,DISPERSE (v),DISPERSE (v),"Dağılmak, yaymak, saçmak","Scatter, distribute, spread",These cells are dispersed among the 16 billion neurons making up the cerebral cortex.,Bu hücreler beyin korteksini oluşturan 16 milyar nöron arasında dağılmıştır.,36,-,-,0
707,HAMPER (v),HAMPER (v),"Engellemek, köstek olmak","Hinder, obstruct, impede",The project has been hampered by financial problems.,Proje mali sorunlardan dolayı engellendi.,36,-,-,0
708,INTENSIVE (adj),INTENSIVE (adj),Yoğun,"Rigorous, thorough","Despite decades of intensive research on dementia, a therapeutic breakthrough is yet to come","Bunama ile ilgili on yıllarca yoğun araştırmaya rağmen, terapötik bir gelişme henüz gerçekleşmemiştir",36,-,-,0
709,LONGITUDE (n),LONGITUDE (n),Boylam,Angular distance from prime meridian,It's an imaginary line that roughly follows the 180° line of longitude.,"Bu, kabaca 180 derecelik boylamı takip eden hayali bir çizgidir.",36,-,-,0
710,PINPOINT (v),PINPOINT (v),"Tespit etmek, yerini belirlemek","Locate, identify, determine",They are trying to pinpoint the exact location of hunter gatherer human fossils in the area.,Bölgedeki avcı toplayıcı insan fosillerinin tam yerini belirlemeye çalışıyorlar.,36,-,-,0
711,POTENCY (n),POTENCY (n),"Nüfuz, kudret, güç","Strength, force, power",Orchids have long been symbols of fertility and potency as in the Greek legends.,Orkideler uzun zamandır Yunan efsanelerinde olduğu gibi doğurganlık ve gücün simgeleridir.,36,-,-,0
712,SEVERITY (n),SEVERITY (n),"Ciddiyet, şiddet, sertlik","Harshness, sternness, strictness",The number and severity of hurricanes will certainly increase.,Kasırgaların sayısı ve şiddeti kesinlikle artacak.,36,-,-,0
713,SINK (v),SINK (v),Batmak,"Go down, submerge","The Indianapolis sank on July 30, 1945, just 12 minutes after being hit with torpedoes fired by a Japanese submarine","Indianapolis 30 Temmuz 1945'te, Japon bir denizaltıdan atılan torpidolarla vurulduktan sadece 12 dakika sonra battı.",36,-,-,0
714,STREAM (n),STREAM (n),Akarsu,Small river,"Global warming could devastate streams, and wetlands in the US.","Küresel ısınma, ABD genelinde akarsular ve sulak alanlara zarar verebilir.",36,-,-,0
715,SURPLUS (n),SURPLUS (n),Fazlalık,"Excess, extra, spare",Humanity has enjoyed an unusual period of food surplus since the Green Revolution.,"İnsanlık, Yeşil Devrim'den bu yana alışılmadık bir gıda fazlalığı yaşadı.",36,-,-,0
716,TANGIBLE (adj),TANGIBLE (adj),"Somut, elle tutulur","Palpable, touchable, concrete",Scientists have made tremendous efforts to find tangible evidence.,"Bilim adamları, somut kanıtlar bulmak için muazzam çaba sarfettiler.",36,-,-,0
717,TEMPERATE (adj),TEMPERATE (adj),Ilıman,"Moderate, mild","During the past 1,000 years, forests in temperate areas have been largely destroyed.","Geçtiğimiz 1000 yıl boyunca, ılıman bölgelerdeki ormanlar büyük oranda yok edildi.",36,-,-,0
718,UNDERLIE (v),UNDERLIE (v),"-in asıl nedeni olmak, altında yatmak","Lie beneath, lie behind",Complex processes underlie the genetic discontinuities that taxonomists recognize as species.,"Kompleks süreçler, taksonomistlerin tür olarak tanımladıkları genetik süreksizliklerin altında yatıyor.",36,-,-,0
719,UNREST (n),UNREST (n),"Huzursuzluk, kargaşa","Discomfort, disturbance, turmoil",Nuclear leak rumors in the region caused unrest among the people.,Bölgedeki nükleer sızıntı söylentileri halk arasında huzursuzluğa neden oldu.,36,-,-,0
720,VOLATILITY (n),VOLATILITY (n),"Oynaklık, değişkenlik",Liability to change,The volatility of climates increases the frequency of natural disasters globally.,"İklimlerin değişkenliği, doğal afetlerin sıklığını küresel olarak arttırıyor.",36,-,-,0
721,ABANDON (v),ABANDON (v),"Vazgeçmek, bırakmak, terketmek","Give up, desert, leave, forsake",Rural areas are abandoned for reasons that include technology and poverty.,Kırsal alanlar teknoloji ve fakirlik içeren nedenlerden ötürü terk edilmiştir.,37,-,-,0
722,ALIGN (v),ALIGN (v),Hizalamak,"Line up, make straight","For this method, the plane of the planet's orbit need not be aligned with Earth.","Bu yöntem için, gezegenin yörüngesinin düzlemi Dünya ile hizalanmaya ihtiyaç duymaz.",37,-,-,0
723,ANTICIPATE (v),ANTICIPATE (v),"Beklemek, ummak","Expect, foresee, look forward to",Hurricane Center warned the storm was anticipated to strengthen again.,Kasırga Merkezi fırtınanın tekrar güçlenmesini beklediğini söyledi.,37,-,-,0
724,BE BASED ON (v),BE BASED ON (v),"e dayanmak, bağlı olmak","Be anchored in, be rooted in",Volcanologist Giuseppe Mercalli created a scale to categorize earthquakes based on the level of damage.,"Volkanolog Giuseppe Mercalli, hasarın seviyesine dayalı olarak depremleri sınıflandırmak için bir ölçek oluşturdu.",37,-,-,0
725,BOUNDARY (n),BOUNDARY (n),"Sınır, limit","Border, limit",Wealth also can be important in marking social boundaries in rural areas.,"Varlık, kırsal alanlarda sosyal sınırların belirlenmesinde de önemli olabilir.",37,-,-,0
726,CAPABLE of (adj),CAPABLE of (adj),"Yetenekli, kabiliyetli","Able, competent, proficient",The satellite's instruments are also capable of distinguishing the relatively small CO2 signatures of cities and even volcanos.,"Uydu aletleri, şehirlerin ve hatta volkanların nispeten küçük CO2 işaretlerini ayırt etme kabiliyetine sahiptir.",37,-,-,0
727,COMPENSATE for (v),COMPENSATE for (v),Telafi etmek,Make up for,Doctors often have to intervene to compensate for the loss of carbohydrates.,Doktorlar sıklıkla karbonhidrat kaybını telafi etmek için müdahale etmek zorundadırlar.,37,-,-,0
728,COMPILE (v),COMPILE (v),"Toplamak, bir araya getirmek","Amass, accumulate, collect, bring together, assemble",Researchers compiled data on chromosomal polymorphism covering periods of 13 to 46 years,"Araştırmacılar, kromozomal polimorfizm üzerine 13 ila 46 yıllık dönemleri kapsayan verileri topladı",37,-,-,0
729,CONDUCIVE (adj),CONDUCIVE (adj),"Yol açan, neden olan, olanak sağlayan","Contributing to, leading to","As climate change alters weather patterns, conditions conducive to severe water impairment are likely to become more frequent.","İklim değişikliği hava koşullarını değiştirdikçe, ciddi su azalmasına neden olan koşulların daha sık ortaya çıkması muhtemeldir.",37,-,-,0
730,CONSIDERABLY (adv),CONSIDERABLY (adv),"Bir hayli, önemli ölçüde","Significantly, substantially",Ideas in the 19th century have contributed considerably to modern science.,"19'uncu yüzyıldaki fikirler, modern bilime önemli ölçüde katkı sağladı.",37,-,-,0
731,CONSUME (v),CONSUME (v),"Tüketmek, kullanmak","Use up, expend",What kinds of energy do we consume today?,Bugün ne tür enerji tüketiyoruz?,37,-,-,0
732,DESPERATE (adj),DESPERATE (adj),"Umutsuz, çaresiz",Hopeless,The lack of rain caused by the California drought has left farmers desperate for irrigation.,Kaliforniya kuraklığından kaynaklanan yağmur azlığı çiftçileri sulama için umutsuz bıraktı.,37,-,-,0
733,DISRUPTION (n),DISRUPTION (n),"Bozulma, aksama","Disturbance, trouble, disorder","Today, such an event may cause severe disruptions of the electrical grid and satellite communications",Bugün böyle bir olay elektrik şebekesi ve uydu iletişiminde ciddi aksamalara neden olabilir.,37,-,-,0
734,DISTILLATION (n),DISTILLATION (n),"Damıtma, saflaştırma","Refinement, purification",This method needs less energy than conventional thermal distillation,Bu yöntem geleneksel termal damıtmadan daha az enerjiye ihtiyaç duyar.,37,-,-,0
735,EMISSION (n),EMISSION (n),"Yayım, dışa verme, salım","Release, discharge",California needs to cut its greenhouse gas emissions 80 percent by 2050.,Kaliforniya'nın 2050 yılına kadar sera gazı salımını yüzde 80 oranında azaltması gerekiyor.,37,-,-,0
736,FLORA AND FAUNA (n),FLORA AND FAUNA (n),"Vahşi yaşam, bitki ve hayvan türü","Wildlife, nature, plants and animals","Nature, with her infinite variety of flora and fauna, is God's gift to humans.","Bitki ve hayvan türünün sonsuz çeşitliliğiyle doğa, Tanrı'nın insanlara armağanıdır.",37,-,-,0
737,INFER (v),INFER (v),"Sonucuna varmak, çıkarsamak","Conclude, deduce, suppose","Astronomers can infer such basics from a planet's size, mass and orbit.","Gökbilimciler, bu tür temel prensipleri bir gezegenin büyüklüğü, kütlesi ve yörüngesinden çıkarsayabilirler.",37,-,-,0
738,STEER (v),STEER (v),"Yönlendirmek, yol göstermek","Guide, direct",Such knowledge could help to steer experimental approaches.,Bu tür bilgiler deneysel yaklaşımları yönlendirmeye yardımcı olabilir.,37,-,-,0
739,UNFOLD (v),UNFOLD (v),"Ortaya çıkarmak, gözler önüne sermek, açıklamak","Reveal, explain, clarify, disclose",The efficiency of the architect is to unfold the unexplainable details.,"Mimarın etkinliği, açıklanamayan ayrıntıları gözler önüne sermektir.",37,-,-,0
740,WITHDRAW (v),WITHDRAW (v),"Çekmek, geri almak","Take out, retract, pull back",Some countries wanted to withdraw from the Paris climate accord.,Bazı ülkeler Paris iklim anlaşmasından çekilmek istedi.,37,-,-,0
741,CORAL REEFS (n),CORAL REEFS (n),Mercan kayalığı,A ridge of rock in the sea,"Natural disturbances, including hurricanes and earthquakes, have affected coral reefs for millions of years.",Kasırgalar ve depremler de dahil olmak üzere doğal felaketler milyonlarca yıldır mercan kayalıklarını etkilemiştir,38,-,-,0
742,DOMINANT (adj),DOMINANT (adj),"Baskın, hakim, egemen","Most common, authoritative, most influential",China is the dominant country in the production of recycled plastics.,"Çin, geri dönüştürülmüş plastik üretiminde egemen ülkedir.",38,-,-,0
743,ECLIPSE (n),ECLIPSE (n),Tutulma (ay/güneş),Obscuring of a celestial body,A solar eclipse happens when the moon blocks our view of the sun for a bit.,"Ay, Güneşi görüşümüzü biraz engellediğinde, Güneş tutulması gerçekleşir.",38,-,-,0
744,EXCLUDE (v),EXCLUDE (v),"Hariç tutmak, dahil etmemek","Keep out, eliminate",Mosquitoes that died before measurement were excluded from analysis.,Ölçümden önce ölen sivrisinekler analizden hariç tutuldu.,38,-,-,0
745,EXPOSE to (v),EXPOSE to (v),Maruz bırakmak,"Subject to, make liable","At birth, infants are exposed to viruses or bacteria.","Doğumda, bebekler virüslere ya da bakterilere maruz kalırlar.",38,-,-,0
746,GERM (n),GERM (n),Mikrop,"Microscopic organism, antibody",Many of the germs that cause disease pass from our hands into our mouths.,Hastalığa yol açan mikropların birçoğu ellerimizden ağzımıza geçer.,38,-,-,0
747,INADVERTENT (adj),INADVERTENT (adj),"Yanlışlıkla, istem dışı, istemeden","Accidental, unintentional",One obvious risk of making online shopping so easy is inadvertent ordering,"İnternet alışverişini çok kolay hale getirmenin bariz bir riski, istemeden yapılan sipariştir.",38,-,-,0
748,INSIGHT (n),INSIGHT (n),"Sezgi, kavrama, anlayış","Intuition, perception, understanding",His experiments led to new scientific insights.,Onun deneyleri yeni bilimsel anlayışlara yol açtı.,38,-,-,0
749,NOTATION (n),NOTATION (n),"Formül, simgeleme, sembolleme","Symbolic representation, symbolization, coding","Leibniz's system eventually became the dominant form of calculus, thanks to its notation and simplicity",Sembolleme ve sadeliği sayesinde Leibniz'in sistemi sonunda hesaplamada egemen hale geldi.,38,-,-,0
750,NOVEL (adj),NOVEL (adj),"Yeni, orijinal","Original, new",Many engineers have had the thrill of designing a novel product.,Birçok mühendis yeni bir ürün tasarlama heyecanına sahipti,38,-,-,0
751,OBSCURE (adj),OBSCURE (adj),"Belirsiz, muğlak, üstü kapalı, anlaşılması güç","Unclear, vague, ambiguous",This is an obscure data science term that was unknown to most people.,"Bu, çoğu insanın bilmediği anlaşılması güç bir veri bilim terimidir.",38,-,-,0
752,PRECEDE (v),PRECEDE (v),"Önce olmak, -den önce gelmek","Come before, go in advance of",Decline in other cognitive skills may precede memory loss in Alzheimer's.,"Diğer bilişsel becerilerdeki düşüş, Alzheimer'teki hafıza kaybından önce olabilir.",38,-,-,0
753,PREY on/upon (v),PREY on/upon (v),"Avlamak, -i avlayıp yemek",Hunt,Foxes as predators prey on lambs and chickens.,"Yırtıcılar olarak tilkiler, kuzu ve tavukları avlar.",38,-,-,0
754,PROMISING (adj),PROMISING (adj),Umut verici,"Encouraging, hopeful",Embryonic stem cell research is less promising today,"Embriyonik kök hücre araştırması, bugün daha az umut vericidir.",38,-,-,0
755,RANDOMLY (adv),RANDOMLY (adv),"Şans eseri, tesadüfen, rastgele","Haphazardly, indiscriminately, accidentally, by chance","If galaxies were scattered randomly through space, the pull would be the same in every direction.","Galaksiler uzay boyunca rastgele dağılmış olsaydı, çekim her yönde aynı olurdu.",38,-,-,0
756,RAW (adj),RAW (adj),"Ham, işlenmemiş","Unprocessed, crude",Natural gas is used as a raw material for creating petrochemicals as well.,"Doğalgaz, petrokimyasalların da hammaddesi olarak kullanılmaktadır.",38,-,-,0
757,RECURRENT (adj),RECURRENT (adj),"Yinelenen, tekerrür eden","Recurring, repeated",Global warming has been a recurrent subject for scientific research.,"Küresel ısınma, bilimsel araştırma için yinelenen bir konudur.",38,-,-,0
758,REINFORCE (v),REINFORCE (v),"Desteklemek, sağlamlaştırmak, güçlendirmek","Strengthen, make stronger",The benefits from oil and mining industries have been also reinforced.,Petrol ve maden endüstrisinden sağlanan faydalar da güçlendirilmiştir.,38,-,-,0
759,TIDE (n),TIDE (n),"Gelgit, medcezir",Rise and fall of sea level,The tide is the daily rise and fall of the sea level.,"Gelgit, deniz seviyesinin günlük yükselişi ve düşüşüdür.",38,-,-,0
760,VERSATILE (adj),VERSATILE (adj),"Birçok iş yapabilen, çok yönlü","Adaptable, multiskilled, all-round","Farmers recognized thousands of years ago that the soybean—versatile, pest-resistant, and nutritious.","Çiftçiler, binlerce yıl önce soya fasulyesinin çok yönlü, haşereye dayanıklı ve besleyici olduğunu fark etti",38,-,-,0
761,ABUNDANT (adj),ABUNDANT (adj),"Bol, çok fazla","Plentiful, ample, copious","Right now the US is addicted to coal, a cheap, abundant power source.","Şu an ABD, ucuz, bol bir enerji kaynağı olan kömüre bağımlıdır.",39,-,-,0
762,ADHESIVE (n),ADHESIVE (n),Yapıştırıcı,"Glue, paste",Chemical adhesives don't work in the extreme temperatures of Earth's orbit,"Kimyasal yapışkanlar, Dünya yörüngesinin aşırı sıcaklıklarında işe yaramazlar.",39,-,-,0
763,CONVINCE (v),CONVINCE (v),"İkna etmek, inandırmak","Persuade, induce",No software simulation is going to be sufficient to convince any pilot about the new avionics systems.,Herhangi bir pilotun yeni aviyonik sistemler hakkında ikna edilmesi için hiçbir yazılım simülasyonu yeterli olmayacak.,39,-,-,0
764,DEFINITE (adj),DEFINITE (adj),"Kesin, belirli","Exact, specific, certain",The research done into safety of organic foods has not given definite results.,Organik gıdaların güvenliğine yönelik yapılan araştırmalar kesin sonuçlar vermedi.,39,-,-,0
